# HEMA Vocabulary Database
# Format: term|category|boost|phonetic_variations|context

# Weapons
longsword|weapon|2.0|long sword,longsword|tournament,bout,match
rapier|weapon|1.8|rapier|tournament,bout,match
dagger|weapon|1.5|dagger|tournament,bout,match
sidesword|weapon|1.8|side sword,sidesword|tournament,bout,match

# Techniques
bind|technique|1.5|bind,binding|attack,defense
riposte|technique|1.8|riposte,ripost|counter,attack
nachreisen|technique|2.0|nach reisen,nachreisen|german,technique
zornhau|technique|2.0|zorn hau,zornhau,wrath strike|german,cut
zwerchhau|technique|2.0|zwerch hau,zwerchhau,cross strike|german,cut
thrust|technique|1.3|thrust,thrusting|attack,point
cut|technique|1.2|cut,cutting|attack,edge
parry|technique|1.4|parry,parrying|defense,block
counter|technique|1.3|counter,counter attack|defense,attack
feint|technique|1.4|feint,feinting|deception,attack

# Scoring
point|scoring|2.0|point,points|score,hit
double|scoring|2.5|double,double hit|simultaneous,both
afterblow|scoring|2.0|after blow,afterblow|timing,late
halt|command|2.5|halt,stop|judge,referee
no-touch|scoring|1.8|no touch,no-touch,clean|miss,avoid
touch|scoring|1.5|touch,touches|hit,contact

# Commands
fence|command|2.0|fence,fencing|begin,start
ready|command|1.8|ready,en garde|position,start
begin|command|1.8|begin,start|commence,go
time|command|2.0|time,timeout|pause,stop
distance|command|1.5|distance,measure|spacing,range

# Judge Calls
good|judge|1.5|good,valid|score,point
no|judge|1.8|no,invalid|reject,miss
yes|judge|1.5|yes,valid|accept,score
clean|judge|1.8|clean,clear|good,valid
simultaneous|judge|2.0|simultaneous,sim|double,both

# Safety
mask|safety|1.2|mask,helmet|protection,head
jacket|safety|1.0|jacket,tunic|protection,body
gloves|safety|1.2|gloves,gauntlets|protection,hands
gorget|safety|1.3|gorget,throat protection|protection,neck

# Tournament Terms
bout|tournament|1.5|bout,match|fight,competition
pool|tournament|1.3|pool,group|round,stage
elimination|tournament|1.4|elimination,elim|knockout,final
bracket|tournament|1.2|bracket,tree|tournament,structure
seed|tournament|1.1|seed,seeding|ranking,position
